stockName,OpenPrice,HighPrice,LowPrice,date
TITAN,1979.90,2093.75,1966.50,08-Jul-2022
HINDALCO,327.60,343.50,325.60,12-Aug-2021
COALINDIA,178.00,185.65,178.00,21-Feb-2022
JSWSTEEL,556.00,580.80,552.70,04-Jul-2022
TATAMOTORS,389.00,399.00,387.00,18-Jul-2016
ADANIPORTS,670.50,691.55,667.10,24-Jun-2021
SBIN,439.50,454.95,437.60,25-May-2022
ONGC,136.10,140.20,135.00,21-Feb-2022
TCS,3130.00,3237.75,3125.40,25-May-2022
EICHERMOT,2642.20,2711.00,2632.15,09-Aug-2021
HCLTECH,971.70,999.90,963.65,28-Apr-2022
DRREDDY,4160.10,4276.55,4160.10,11-Jul-2022
WIPRO,420.00,426.75,416.65,05-Apr-2022
INFY,1424.00,1456.00,1422.75,31-May-2022
TATASTEEL,875.00,895.50,864.00,15-Jun-2022
UPL,642.25,656.95,642.25,14-Jul-2021
TECHM,991.40,1004.65,980.00,21-Jul-2022
ITC,265.00,270.85,264.10,26-May-2022
SBILIFE,1080.10,1098.50,1077.35,29-Mar-2022
NTPC,138.20,141.25,137.75,03-Feb-2022
